degradation,target_concepts,mean_target_rho,mean_target_range,mean_non_target_rho,q_rho_vs_level,q_drop_clean_to_max,grounded
blur,ridge_valley_clarity,-0.42233427968264875,0.1315630218014121,0.35271272328755904,-0.4652154161062649,12.506155273877084,False
jpeg,ridge_valley_clarity,-0.11219066894513888,0.03329659625887871,0.03856938378653363,-0.11100871920909652,2.6628766674548388,False
pressure_wet,ridge_valley_clarity,-0.7744134670549409,0.4625625074841082,0.6361911700109907,-0.34494021096659633,6.053216755390167,True
noise,noise_level,0.43798329418784937,0.22918349271640182,0.37334377128817103,-0.3055576457616656,8.745348267257214,False
dry_skin,contrast_uniformity,-0.2535991353652444,0.0963860391639173,0.15526091732652172,0.08916628808703408,-2.7216508984565735,False
occlusion,usable_area,-0.8636270331314168,0.4684610713738948,0.48551658477252807,0.12632678778820525,-2.992645464837551,True
ridge_stretch,ridge_frequency,0.03512754615517833,0.01246570609509945,0.0010684825613822765,-0.020660481386020092,0.3907740581780672,False
orientation_break,orientation_coherence,-0.7068532201427608,0.26014142017811537,0.380578359407745,0.07451011136010909,-0.7303959224373102,True
