count,mean,std,median,min,q05,q25,q75,q95,max,iqr,sensor
368,47.61119079589844,8.450775146484375,49.219051361083984,20.942535400390625,31.127583408355715,42.67049789428711,53.44800281524658,59.42436866760253,63.15597915649414,10.777504920959473,A
361,47.43583297729492,10.099048614501953,49.53864288330078,14.453439712524414,25.667255401611328,43.40668487548828,54.65534973144531,59.56031036376953,62.71985626220703,11.248664855957031,B
370,47.57024002075195,6.877500057220459,47.833641052246094,23.060274124145508,35.768710899353025,43.45408821105957,52.807533264160156,56.75351905822754,59.86240005493164,9.353445053100586,C
368,40.95301818847656,10.078248977661133,41.84907341003418,20.479476928710938,24.555713367462157,32.47927951812744,49.07603359222412,55.79685707092284,62.99723434448242,16.59675407409668,D
360,45.82564926147461,8.29114818572998,46.929298400878906,24.001651763916016,30.64527826309204,39.88110160827637,52.05308818817139,58.01935443878174,61.32682418823242,12.17198657989502,E
370,45.23768997192383,9.508378982543945,47.02530097961426,13.972992897033691,25.04553461074829,41.667908668518066,51.86442279815674,56.97307624816895,61.61907958984375,10.196514129638672,F
205,27.829530715942383,2.5572867393493652,27.80626678466797,21.341148376464844,23.261506271362304,26.176977157592773,29.512483596801758,31.79847869873047,35.155216217041016,3.3355064392089844,H
140,46.30065155029297,8.763810157775879,46.92380142211914,19.603662490844727,30.722658348083495,40.57628059387207,52.487173080444336,58.7271089553833,62.36235046386719,11.910892486572266,K
358,47.37480545043945,9.563565254211426,49.76607894897461,14.453439712524414,26.874592876434328,43.457664489746094,53.5961389541626,58.76029033660888,62.3676643371582,10.138474464416504,L
370,45.344268798828125,8.82105541229248,46.48996543884277,15.47851276397705,28.951317882537843,40.123043060302734,52.08929252624512,57.085448837280275,64.83550262451172,11.966249465942383,M
370,46.989173889160156,7.2016377449035645,47.869659423828125,21.176042556762695,33.54283752441406,42.64239692687988,52.3951997756958,57.441347694396974,61.05967712402344,9.752802848815918,U
370,46.98687744140625,6.996495246887207,47.58975028991699,19.55191993713379,33.51455783843994,43.12201690673828,52.04195499420166,56.91085319519043,63.209754943847656,8.919938087463379,V
