sensor_a,sensor_b,n_pairs,mean_signed,std_signed,mean_abs,median_abs,p95_abs,pearson_r
A,B,359,0.3095655143260956,8.854783058166504,6.765527248382568,5.048086166381836,18.105315399169896,0.5555435721339382
A,C,368,0.0813809484243393,8.644411087036133,6.731601715087891,5.408255338668823,17.37733297348022,0.3782286723389098
A,D,366,6.6514973640441895,9.246179580688477,9.22054672241211,7.958302974700928,22.530017852783203,0.5142799554266886
A,E,359,1.8483644723892212,8.860441207885742,6.942172050476074,5.401138782501221,19.072265815734863,0.4431273424585983
A,F,368,2.388314723968506,8.672691345214844,6.914769649505615,5.7736945152282715,18.31673049926757,0.5403116467571586
A,H,204,19.166479110717773,9.449684143066406,19.395654678344727,20.524170875549316,34.13448600769043,-0.0891776828039812
A,K,139,3.284952163696289,10.579174995422363,8.880352020263672,7.706860065460205,22.2540298461914,0.05112491585452966
A,L,356,0.48363640904426575,8.572669982910156,6.5234293937683105,4.924358129501343,17.642218589782715,0.5492704863333646
A,M,368,2.265219211578369,10.442995071411133,8.291324615478516,6.849091053009033,22.673863315582267,0.27094312644226065
A,U,368,0.6425750255584717,7.862025260925293,6.17940092086792,4.81412148475647,15.845054626464833,0.5055869770778795
A,V,368,0.6252432465553284,8.106968879699707,6.43206787109375,5.329365491867065,16.324954509735107,0.46300715361995515
B,C,361,-0.21844074130058289,9.831880569458008,7.462725639343262,6.035705089569092,19.320724487304688,0.37908886935294817
B,D,359,6.256445407867432,10.338117599487305,9.695233345031738,8.475292205810547,25.172624778747558,0.47440328068334386
B,E,351,1.5479085445404053,10.239843368530273,8.075216293334961,6.5568389892578125,21.07139492034912,0.3913808963888429
B,F,361,2.160957098007202,9.374089241027832,7.084509372711182,5.240787982940674,21.912433624267578,0.5471435316610058
B,H,202,19.038644790649414,10.905401229858398,20.09513282775879,20.865126609802246,33.229537010192864,-0.04758331921587988
B,K,140,2.6240410804748535,12.00440788269043,9.430109977722168,7.084041357040405,26.637457084655757,0.09734423097132879
B,L,354,0.2893986999988556,4.607861042022705,2.9631168842315674,1.5568840503692627,9.450868177413934,0.8879575284941496
B,M,361,2.07177996635437,11.240126609802246,9.000274658203125,7.640346050262451,23.106056213378906,0.3001388633116219
B,U,361,0.35229969024658203,8.732626914978027,6.789091110229492,5.62388277053833,16.902904510498047,0.5322703641003593
B,V,361,0.39762967824935913,9.265514373779297,6.698616027832031,5.01310396194458,18.29510498046875,0.4617607074780069
C,D,368,6.641602993011475,9.858078002929688,9.450526237487793,7.905849456787109,23.22042531967163,0.3733429993493121
C,E,360,1.579897403717041,7.20160436630249,5.814361095428467,4.592166900634766,14.060242795944216,0.5619907265393234
C,F,370,2.332549810409546,9.345287322998047,7.362721920013428,5.657011032104492,20.741786479949955,0.3851651253872332
C,H,205,19.495481491088867,7.3445258140563965,19.501895904541016,20.049062728881836,30.105565261840816,-0.011174880712511943
C,K,140,2.318978786468506,8.405016899108887,6.844484329223633,5.5873095989227295,17.110653686523438,0.4331678427131496
C,L,358,0.3122718036174774,9.66234016418457,7.3535380363464355,5.875765085220337,19.277542495727534,0.3470146606252048
C,M,370,2.2259762287139893,9.776287078857422,7.919253349304199,6.434430360794067,19.415794563293467,0.24342173232206585
C,U,370,0.5810678601264954,7.174296855926514,5.747710227966309,4.911670446395874,14.840245103836065,0.48146344269005725
C,V,370,0.5833662152290344,7.09315824508667,5.60899019241333,4.815767526626587,14.003003501892092,0.4773439927315896
D,E,359,-5.091002464294434,10.676867485046387,9.576592445373535,8.432236671447754,22.132705307006823,0.33893268887022654
D,F,368,-4.244204521179199,9.04022216796875,7.804467678070068,6.478412389755249,19.591735553741454,0.5755703736521288
D,H,204,13.08260440826416,10.332792282104492,14.11543083190918,14.876740455627441,27.350498580932616,0.04511342821912736
D,K,139,-0.9697544574737549,10.52724552154541,8.998408317565918,8.437509536743164,18.56915855407715,0.1370196387320674
